Surface,n,Area / Angstrom^2 ,Slab Energy / Eh,Surface Energy / J m^-2
001,2.0,21.061,-1996.846,0.78
001,3.0,21.061,-2995.165,2.242
001,4.0,21.061,-3993.724,1.229
001,5.0,21.061,-4992.119,1.907
001,6.0,21.061,-5990.633,1.356
001,7.0,21.061,-6989.058,1.73
001,8.0,21.061,-7987.549,1.411
