Surface,n,Area / Angstrom^2 ,Slab Energy / Eh,Surface Energy / J m^-2
100,2.0,13.522,-3993.785866536,0.9171138441036454
100,3.0,13.522,-5990.706725441,0.9254571242246871
100,4.0,13.522,-7987.627954146,0.9278385348284188
100,5.0,13.522,-9984.549195597,0.9300144560105539
100,6.0,13.522,-11981.47045632,0.9318796763661198
100,7.0,13.522,-13978.39165179,0.9347968974869213
100,8.0,13.522,-15975.31272038,0.9397596621761592
