Surface,n,Slab Energy / Eh,Surface Energy / Eh
110,2.0,-3993.7104964708,0.0017290221879377849
110,3.0,-5990.6209378103,0.001247986226872741
110,4.0,-7987.5446097899,0.0009209844303937506
110,5.0,-9984.4655349834,0.0007391471348676109
110,6.0,-11981.387061255,0.0006153029205607939
110,7.0,-13978.308426417,0.0005274445469540243
110,8.0,-15975.229793965,0.00046154296854409443
