n,dz O1,dz Ti2,dz Ti3,dz O4,dz O5,dz O6
3,-0.05496810511899941,-0.12716842479599988,0.12961674446600036,0.17689320893700033,0.17689320893700033,-0.04772922854399986
4,-0.00041385511800040575,0.26188884988600014,-0.14884451350299988,0.04547002315500004,0.04547002315500004,-0.023113220194399986
5,0.01178980430800003,0.1121314111820002,-0.07026158733299992,0.011927714573999992,0.011927714573999992,0.008064151569000089
6,0.053158438425999766,-0.1575019715549999,0.14778052199000014,0.007830619804000127,0.007830619804000127,0.04205836852549999
7,0.01198315027400021,-0.06164787010399975,0.053331365578000334,0.012149254592000336,0.012149254592000336,-0.0027221007319999657
8,-0.016437662148000243,0.1457810233350001,-0.09710714766999984,0.017141651191000085,0.017141651191000085,-0.021585957663699973
