n,dz O1,dz Ti2,dz Ti3
2,0.0972340513779999,-0.27600113799899995,0.30642502693200013
3,-0.05496810511899941,-0.12716842479599988,0.12961674446600036
4,0.11271218524699922,-0.181778548624,0.3143643682360002
5,0.006533523475999559,-0.15386481598899948,0.20184527233600047
6,0.11820421432200057,-0.14928331009299978,0.31842805155999976
7,0.04719035077000022,-0.15675191936800026,0.24502587969100098
8,0.12136372370000004,-0.1349490838499996,0.3212397073600002
