Surface,n,Area / Angstrom^2 ,Slab Energy / Eh,Surface Energy / J m^-2
101,2.0,25.028,-3993.717,1.096
101,3.0,25.028,-5990.605,1.384
101,4.0,25.028,-7987.547,1.203
101,5.0,25.028,-9984.46,1.276
101,6.0,25.028,-11981.388,1.221
101,7.0,25.028,-13978.308,1.237
101,8.0,25.028,-15975.231,1.219
